profile_name,year,rep_period,timestep,value CY_30-97_40-13_50-98
availability-wind2030,2030,1,460,0.316
availability-wind2030,2030,1,461,0.301
availability-wind2030,2030,1,462,0.277
availability-wind2030,2030,1,463,0.290
availability-wind2030,2030,1,464,0.333
availability-wind2030,2030,1,465,0.383
availability-wind2030,2030,1,466,0.370
availability-wind2030,2030,1,467,0.330
availability-wind2030,2030,1,468,0.315
availability-wind2030,2030,1,469,0.290
availability-wind2030,2030,1,470,0.273
availability-wind2030,2030,1,471,0.273
availability-wind2030,2030,1,472,0.306
availability-wind2030,2030,1,473,0.355
availability-wind2030,2030,1,474,0.395
availability-wind2030,2030,1,475,0.388
availability-wind2030,2030,1,476,0.426
availability-wind2030,2030,1,477,0.412
availability-wind2030,2030,1,478,0.376
availability-wind2030,2030,1,479,0.343
availability-wind2030,2030,1,480,0.353
availability-wind2030,2030,1,481,0.359
availability-wind2030,2030,1,482,0.379
availability-wind2030,2030,1,483,0.347
availability-wind2030,2030,1,484,0.339
availability-wind2030,2030,1,485,0.363
availability-wind2030,2030,1,486,0.371
availability-wind2030,2030,1,487,0.384
availability-wind2030,2030,1,488,0.389
availability-wind2030,2030,1,489,0.397
availability-wind2030,2030,1,490,0.429
availability-wind2030,2030,1,491,0.482
availability-wind2030,2030,1,492,0.502
availability-wind2030,2030,1,493,0.523
availability-wind2030,2030,1,494,0.545
availability-wind2030,2030,1,495,0.572
availability-wind2030,2030,1,496,0.575
availability-wind2030,2030,1,497,0.567
availability-wind2030,2030,1,498,0.566
availability-wind2030,2030,1,499,0.559
availability-wind2030,2030,1,500,0.552
availability-wind2030,2030,1,501,0.570
availability-wind2030,2030,1,502,0.592
availability-wind2030,2030,1,503,0.582
availability-wind2030,2030,1,504,0.573
availability-wind2030,2030,1,505,0.558
availability-wind2030,2030,1,506,0.567
availability-wind2030,2030,1,507,0.575
availability-wind2030,2030,1,508,0.586
availability-wind2030,2030,1,509,0.634
availability-wind2030,2030,1,510,0.672
availability-wind2030,2030,1,511,0.662
availability-wind2030,2030,1,512,0.640
availability-wind2030,2030,1,513,0.641
availability-wind2030,2030,1,514,0.629
availability-wind2030,2030,1,515,0.613
availability-wind2030,2030,1,516,0.586
availability-wind2030,2030,1,517,0.579
availability-wind2030,2030,1,518,0.566
availability-wind2030,2030,1,519,0.580
